gm,team,position_group,team_pct,league_pct,delta,n_picks_total,tenure_start_effective
Howie Roseman,PHI,WR,0.2222222222222222,0.21,0.012222222222222218,9,2020
Howie Roseman,PHI,IDL,0.2222222222222222,0.15333333333333332,0.06888888888888889,9,2020
Howie Roseman,PHI,EDGE,0.0,0.11,-0.11,9,2020
Howie Roseman,PHI,LB,0.2222222222222222,0.10333333333333333,0.11888888888888888,9,2020
Howie Roseman,PHI,CB,0.1111111111111111,0.09,0.02111111111111111,9,2020
Howie Roseman,PHI,QB,0.1111111111111111,0.08333333333333333,0.027777777777777776,9,2020
Howie Roseman,PHI,RB,0.0,0.07,-0.07,9,2020
Howie Roseman,PHI,TE,0.0,0.056666666666666664,-0.056666666666666664,9,2020
Howie Roseman,PHI,OT,0.0,0.05333333333333334,-0.05333333333333334,9,2020
Howie Roseman,PHI,S,0.1111111111111111,0.05,0.0611111111111111,9,2020
Howie Roseman,PHI,C,0.0,0.01,-0.01,9,2020
Howie Roseman,PHI,G,0.0,0.01,-0.01,9,2020
Les Snead,LAR,WR,0.2857142857142857,0.21,0.0757142857142857,7,2020
Les Snead,LAR,IDL,0.2857142857142857,0.15333333333333332,0.13238095238095238,7,2020
Les Snead,LAR,EDGE,0.0,0.11,-0.11,7,2020
Les Snead,LAR,LB,0.0,0.10333333333333333,-0.10333333333333333,7,2020
Les Snead,LAR,CB,0.0,0.09,-0.09,7,2020
Les Snead,LAR,QB,0.0,0.08333333333333333,-0.08333333333333333,7,2020
Les Snead,LAR,RB,0.14285714285714285,0.07,0.07285714285714284,7,2020
Les Snead,LAR,TE,0.14285714285714285,0.056666666666666664,0.08619047619047618,7,2020
Les Snead,LAR,OT,0.0,0.05333333333333334,-0.05333333333333334,7,2020
Les Snead,LAR,S,0.0,0.05,-0.05,7,2020
Les Snead,LAR,C,0.14285714285714285,0.01,0.13285714285714284,7,2020
Les Snead,LAR,G,0.0,0.01,-0.01,7,2020
Duke Tobin,CIN,WR,0.2222222222222222,0.21,0.012222222222222218,9,2020
Duke Tobin,CIN,IDL,0.1111111111111111,0.15333333333333332,-0.04222222222222222,9,2020
Duke Tobin,CIN,EDGE,0.2222222222222222,0.11,0.11222222222222221,9,2020
Duke Tobin,CIN,LB,0.1111111111111111,0.10333333333333333,0.007777777777777772,9,2020
Duke Tobin,CIN,CB,0.1111111111111111,0.09,0.02111111111111111,9,2020
Duke Tobin,CIN,QB,0.1111111111111111,0.08333333333333333,0.027777777777777776,9,2020
Duke Tobin,CIN,RB,0.0,0.07,-0.07,9,2020
Duke Tobin,CIN,TE,0.0,0.056666666666666664,-0.056666666666666664,9,2020
Duke Tobin,CIN,OT,0.1111111111111111,0.05333333333333334,0.05777777777777777,9,2020
Duke Tobin,CIN,S,0.0,0.05,-0.05,9,2020
Duke Tobin,CIN,C,0.0,0.01,-0.01,9,2020
Duke Tobin,CIN,G,0.0,0.01,-0.01,9,2020
Chris Ballard,IND,WR,0.3,0.21,0.09,10,2020
Chris Ballard,IND,IDL,0.3,0.15333333333333332,0.14666666666666667,10,2020
Chris Ballard,IND,EDGE,0.1,0.11,-0.009999999999999995,10,2020
Chris Ballard,IND,LB,0.0,0.10333333333333333,-0.10333333333333333,10,2020
Chris Ballard,IND,CB,0.0,0.09,-0.09,10,2020
Chris Ballard,IND,QB,0.1,0.08333333333333333,0.016666666666666677,10,2020
Chris Ballard,IND,RB,0.1,0.07,0.03,10,2020
Chris Ballard,IND,TE,0.1,0.056666666666666664,0.04333333333333334,10,2020
Chris Ballard,IND,OT,0.0,0.05333333333333334,-0.05333333333333334,10,2020
Chris Ballard,IND,S,0.0,0.05,-0.05,10,2020
Chris Ballard,IND,C,0.0,0.01,-0.01,10,2020
Chris Ballard,IND,G,0.0,0.01,-0.01,10,2020
Brandon Beane,BUF,WR,0.1,0.21,-0.10999999999999999,10,2020
Brandon Beane,BUF,IDL,0.3,0.15333333333333332,0.14666666666666667,10,2020
Brandon Beane,BUF,EDGE,0.1,0.11,-0.009999999999999995,10,2020
Brandon Beane,BUF,LB,0.0,0.10333333333333333,-0.10333333333333333,10,2020
Brandon Beane,BUF,CB,0.2,0.09,0.11000000000000001,10,2020
Brandon Beane,BUF,QB,0.0,0.08333333333333333,-0.08333333333333333,10,2020
Brandon Beane,BUF,RB,0.1,0.07,0.03,10,2020
Brandon Beane,BUF,TE,0.1,0.056666666666666664,0.04333333333333334,10,2020
Brandon Beane,BUF,OT,0.0,0.05333333333333334,-0.05333333333333334,10,2020
Brandon Beane,BUF,S,0.1,0.05,0.05,10,2020
Brandon Beane,BUF,C,0.0,0.01,-0.01,10,2020
Brandon Beane,BUF,G,0.0,0.01,-0.01,10,2020
Eric DeCosta,BAL,WR,0.2,0.21,-0.009999999999999981,10,2020
Eric DeCosta,BAL,IDL,0.0,0.15333333333333332,-0.15333333333333332,10,2020
Eric DeCosta,BAL,EDGE,0.2,0.11,0.09000000000000001,10,2020
Eric DeCosta,BAL,LB,0.2,0.10333333333333333,0.09666666666666668,10,2020
Eric DeCosta,BAL,CB,0.1,0.09,0.010000000000000009,10,2020
Eric DeCosta,BAL,QB,0.0,0.08333333333333333,-0.08333333333333333,10,2020
Eric DeCosta,BAL,RB,0.1,0.07,0.03,10,2020
Eric DeCosta,BAL,TE,0.0,0.056666666666666664,-0.056666666666666664,10,2020
Eric DeCosta,BAL,OT,0.0,0.05333333333333334,-0.05333333333333334,10,2020
Eric DeCosta,BAL,S,0.2,0.05,0.15000000000000002,10,2020
Eric DeCosta,BAL,C,0.0,0.01,-0.01,10,2020
Eric DeCosta,BAL,G,0.0,0.01,-0.01,10,2020
Andrew Berry,CLE,WR,0.0,0.21,-0.21,7,2020
Andrew Berry,CLE,IDL,0.2857142857142857,0.15333333333333332,0.13238095238095238,7,2020
Andrew Berry,CLE,EDGE,0.0,0.11,-0.11,7,2020
Andrew Berry,CLE,LB,0.2857142857142857,0.10333333333333333,0.18238095238095237,7,2020
Andrew Berry,CLE,CB,0.0,0.09,-0.09,7,2020
Andrew Berry,CLE,QB,0.0,0.08333333333333333,-0.08333333333333333,7,2020
Andrew Berry,CLE,RB,0.14285714285714285,0.07,0.07285714285714284,7,2020
Andrew Berry,CLE,TE,0.0,0.056666666666666664,-0.056666666666666664,7,2020
Andrew Berry,CLE,OT,0.14285714285714285,0.05333333333333334,0.0895238095238095,7,2020
Andrew Berry,CLE,S,0.14285714285714285,0.05,0.09285714285714285,7,2020
Andrew Berry,CLE,C,0.0,0.01,-0.01,7,2020
Andrew Berry,CLE,G,0.0,0.01,-0.01,7,2020
Brad Holmes,DET,WR,0.125,0.21,-0.08499999999999999,8,2021
Brad Holmes,DET,IDL,0.25,0.15333333333333332,0.09666666666666668,8,2021
Brad Holmes,DET,EDGE,0.25,0.11,0.14,8,2021
Brad Holmes,DET,LB,0.125,0.10333333333333333,0.021666666666666667,8,2021
Brad Holmes,DET,CB,0.0,0.09,-0.09,8,2021
Brad Holmes,DET,QB,0.0,0.08333333333333333,-0.08333333333333333,8,2021
Brad Holmes,DET,RB,0.125,0.07,0.05499999999999999,8,2021
Brad Holmes,DET,TE,0.125,0.056666666666666664,0.06833333333333333,8,2021
Brad Holmes,DET,OT,0.0,0.05333333333333334,-0.05333333333333334,8,2021
Brad Holmes,DET,S,0.0,0.05,-0.05,8,2021
Brad Holmes,DET,C,0.0,0.01,-0.01,8,2021
Brad Holmes,DET,G,0.0,0.01,-0.01,8,2021
Nick Caserio,HOU,WR,0.3333333333333333,0.21,0.12333333333333332,6,2021
Nick Caserio,HOU,IDL,0.0,0.15333333333333332,-0.15333333333333332,6,2021
Nick Caserio,HOU,EDGE,0.0,0.11,-0.11,6,2021
Nick Caserio,HOU,LB,0.16666666666666666,0.10333333333333333,0.06333333333333332,6,2021
Nick Caserio,HOU,CB,0.16666666666666666,0.09,0.07666666666666666,6,2021
Nick Caserio,HOU,QB,0.16666666666666666,0.08333333333333333,0.08333333333333333,6,2021
Nick Caserio,HOU,RB,0.0,0.07,-0.07,6,2021
Nick Caserio,HOU,TE,0.0,0.056666666666666664,-0.056666666666666664,6,2021
Nick Caserio,HOU,OT,0.0,0.05333333333333334,-0.05333333333333334,6,2021
Nick Caserio,HOU,S,0.16666666666666666,0.05,0.11666666666666665,6,2021
Nick Caserio,HOU,C,0.0,0.01,-0.01,6,2021
Nick Caserio,HOU,G,0.0,0.01,-0.01,6,2021
Terry Fontenot,ATL,WR,0.1111111111111111,0.21,-0.09888888888888889,9,2021
Terry Fontenot,ATL,IDL,0.1111111111111111,0.15333333333333332,-0.04222222222222222,9,2021
Terry Fontenot,ATL,EDGE,0.3333333333333333,0.11,0.22333333333333333,9,2021
Terry Fontenot,ATL,LB,0.1111111111111111,0.10333333333333333,0.007777777777777772,9,2021
Terry Fontenot,ATL,CB,0.0,0.09,-0.09,9,2021
Terry Fontenot,ATL,QB,0.1111111111111111,0.08333333333333333,0.027777777777777776,9,2021
Terry Fontenot,ATL,RB,0.1111111111111111,0.07,0.0411111111111111,9,2021
Terry Fontenot,ATL,TE,0.1111111111111111,0.056666666666666664,0.05444444444444444,9,2021
Terry Fontenot,ATL,OT,0.0,0.05333333333333334,-0.05333333333333334,9,2021
Terry Fontenot,ATL,S,0.0,0.05,-0.05,9,2021
Terry Fontenot,ATL,C,0.0,0.01,-0.01,9,2021
Terry Fontenot,ATL,G,0.0,0.01,-0.01,9,2021
George Paton,DEN,WR,0.16666666666666666,0.21,-0.043333333333333335,6,2021
George Paton,DEN,IDL,0.0,0.15333333333333332,-0.15333333333333332,6,2021
George Paton,DEN,EDGE,0.0,0.11,-0.11,6,2021
George Paton,DEN,LB,0.16666666666666666,0.10333333333333333,0.06333333333333332,6,2021
George Paton,DEN,CB,0.16666666666666666,0.09,0.07666666666666666,6,2021
George Paton,DEN,QB,0.16666666666666666,0.08333333333333333,0.08333333333333333,6,2021
George Paton,DEN,RB,0.3333333333333333,0.07,0.2633333333333333,6,2021
George Paton,DEN,TE,0.0,0.056666666666666664,-0.056666666666666664,6,2021
George Paton,DEN,OT,0.0,0.05333333333333334,-0.05333333333333334,6,2021
George Paton,DEN,S,0.0,0.05,-0.05,6,2021
George Paton,DEN,C,0.0,0.01,-0.01,6,2021
George Paton,DEN,G,0.0,0.01,-0.01,6,2021
Ryan Poles,CHI,WR,0.2,0.21,-0.009999999999999981,10,2022
Ryan Poles,CHI,IDL,0.2,0.15333333333333332,0.04666666666666669,10,2022
Ryan Poles,CHI,EDGE,0.1,0.11,-0.009999999999999995,10,2022
Ryan Poles,CHI,LB,0.0,0.10333333333333333,-0.10333333333333333,10,2022
Ryan Poles,CHI,CB,0.2,0.09,0.11000000000000001,10,2022
Ryan Poles,CHI,QB,0.1,0.08333333333333333,0.016666666666666677,10,2022
Ryan Poles,CHI,RB,0.0,0.07,-0.07,10,2022
Ryan Poles,CHI,TE,0.1,0.056666666666666664,0.04333333333333334,10,2022
Ryan Poles,CHI,OT,0.0,0.05333333333333334,-0.05333333333333334,10,2022
Ryan Poles,CHI,S,0.1,0.05,0.05,10,2022
Ryan Poles,CHI,C,0.0,0.01,-0.01,10,2022
Ryan Poles,CHI,G,0.0,0.01,-0.01,10,2022
Kwesi Adofo-Mensah,MIN,WR,0.2,0.21,-0.009999999999999981,5,2022
Kwesi Adofo-Mensah,MIN,IDL,0.0,0.15333333333333332,-0.15333333333333332,5,2022
Kwesi Adofo-Mensah,MIN,EDGE,0.0,0.11,-0.11,5,2022
Kwesi Adofo-Mensah,MIN,LB,0.2,0.10333333333333333,0.09666666666666668,5,2022
Kwesi Adofo-Mensah,MIN,CB,0.2,0.09,0.11000000000000001,5,2022
Kwesi Adofo-Mensah,MIN,QB,0.2,0.08333333333333333,0.11666666666666668,5,2022
Kwesi Adofo-Mensah,MIN,RB,0.0,0.07,-0.07,5,2022
Kwesi Adofo-Mensah,MIN,TE,0.0,0.056666666666666664,-0.056666666666666664,5,2022
Kwesi Adofo-Mensah,MIN,OT,0.0,0.05333333333333334,-0.05333333333333334,5,2022
Kwesi Adofo-Mensah,MIN,S,0.0,0.05,-0.05,5,2022
Kwesi Adofo-Mensah,MIN,C,0.0,0.01,-0.01,5,2022
Kwesi Adofo-Mensah,MIN,G,0.2,0.01,0.19,5,2022
Omar Khan,PIT,WR,0.2,0.21,-0.009999999999999981,5,2022
Omar Khan,PIT,IDL,0.4,0.15333333333333332,0.2466666666666667,5,2022
Omar Khan,PIT,EDGE,0.0,0.11,-0.11,5,2022
Omar Khan,PIT,LB,0.0,0.10333333333333333,-0.10333333333333333,5,2022
Omar Khan,PIT,CB,0.2,0.09,0.11000000000000001,5,2022
Omar Khan,PIT,QB,0.2,0.08333333333333333,0.11666666666666668,5,2022
Omar Khan,PIT,RB,0.0,0.07,-0.07,5,2022
Omar Khan,PIT,TE,0.0,0.056666666666666664,-0.056666666666666664,5,2022
Omar Khan,PIT,OT,0.0,0.05333333333333334,-0.05333333333333334,5,2022
Omar Khan,PIT,S,0.0,0.05,-0.05,5,2022
Omar Khan,PIT,C,0.0,0.01,-0.01,5,2022
Omar Khan,PIT,G,0.0,0.01,-0.01,5,2022
Joe Schoen,NYG,WR,0.4,0.21,0.19000000000000003,5,2022
Joe Schoen,NYG,IDL,0.0,0.15333333333333332,-0.15333333333333332,5,2022
Joe Schoen,NYG,EDGE,0.4,0.11,0.29000000000000004,5,2022
Joe Schoen,NYG,LB,0.0,0.10333333333333333,-0.10333333333333333,5,2022
Joe Schoen,NYG,CB,0.0,0.09,-0.09,5,2022
Joe Schoen,NYG,QB,0.2,0.08333333333333333,0.11666666666666668,5,2022
Joe Schoen,NYG,RB,0.0,0.07,-0.07,5,2022
Joe Schoen,NYG,TE,0.0,0.056666666666666664,-0.056666666666666664,5,2022
Joe Schoen,NYG,OT,0.0,0.05333333333333334,-0.05333333333333334,5,2022
Joe Schoen,NYG,S,0.0,0.05,-0.05,5,2022
Joe Schoen,NYG,C,0.0,0.01,-0.01,5,2022
Joe Schoen,NYG,G,0.0,0.01,-0.01,5,2022
Monti Ossenfort,ARI,WR,0.2,0.21,-0.009999999999999981,5,2023
Monti Ossenfort,ARI,IDL,0.4,0.15333333333333332,0.2466666666666667,5,2023
Monti Ossenfort,ARI,EDGE,0.2,0.11,0.09000000000000001,5,2023
Monti Ossenfort,ARI,LB,0.0,0.10333333333333333,-0.10333333333333333,5,2023
Monti Ossenfort,ARI,CB,0.2,0.09,0.11000000000000001,5,2023
Monti Ossenfort,ARI,QB,0.0,0.08333333333333333,-0.08333333333333333,5,2023
Monti Ossenfort,ARI,RB,0.0,0.07,-0.07,5,2023
Monti Ossenfort,ARI,TE,0.0,0.056666666666666664,-0.056666666666666664,5,2023
Monti Ossenfort,ARI,OT,0.0,0.05333333333333334,-0.05333333333333334,5,2023
Monti Ossenfort,ARI,S,0.0,0.05,-0.05,5,2023
Monti Ossenfort,ARI,C,0.0,0.01,-0.01,5,2023
Monti Ossenfort,ARI,G,0.0,0.01,-0.01,5,2023
Adam Peters,WAS,WR,0.0,0.21,-0.21,4,2024
Adam Peters,WAS,IDL,0.25,0.15333333333333332,0.09666666666666668,4,2024
Adam Peters,WAS,EDGE,0.0,0.11,-0.11,4,2024
Adam Peters,WAS,LB,0.0,0.10333333333333333,-0.10333333333333333,4,2024
Adam Peters,WAS,CB,0.25,0.09,0.16,4,2024
Adam Peters,WAS,QB,0.25,0.08333333333333333,0.16666666666666669,4,2024
Adam Peters,WAS,RB,0.0,0.07,-0.07,4,2024
Adam Peters,WAS,TE,0.25,0.056666666666666664,0.19333333333333333,4,2024
Adam Peters,WAS,OT,0.0,0.05333333333333334,-0.05333333333333334,4,2024
Adam Peters,WAS,S,0.0,0.05,-0.05,4,2024
Adam Peters,WAS,C,0.0,0.01,-0.01,4,2024
Adam Peters,WAS,G,0.0,0.01,-0.01,4,2024
Joe Hortiz,LAC,WR,0.6666666666666666,0.21,0.45666666666666667,3,2024
Joe Hortiz,LAC,IDL,0.0,0.15333333333333332,-0.15333333333333332,3,2024
Joe Hortiz,LAC,EDGE,0.0,0.11,-0.11,3,2024
Joe Hortiz,LAC,LB,0.0,0.10333333333333333,-0.10333333333333333,3,2024
Joe Hortiz,LAC,CB,0.0,0.09,-0.09,3,2024
Joe Hortiz,LAC,QB,0.0,0.08333333333333333,-0.08333333333333333,3,2024
Joe Hortiz,LAC,RB,0.3333333333333333,0.07,0.2633333333333333,3,2024
Joe Hortiz,LAC,TE,0.0,0.056666666666666664,-0.056666666666666664,3,2024
Joe Hortiz,LAC,OT,0.0,0.05333333333333334,-0.05333333333333334,3,2024
Joe Hortiz,LAC,S,0.0,0.05,-0.05,3,2024
Joe Hortiz,LAC,C,0.0,0.01,-0.01,3,2024
Joe Hortiz,LAC,G,0.0,0.01,-0.01,3,2024
Dan Morgan,CAR,WR,0.5,0.21,0.29000000000000004,4,2024
Dan Morgan,CAR,IDL,0.0,0.15333333333333332,-0.15333333333333332,4,2024
Dan Morgan,CAR,EDGE,0.25,0.11,0.14,4,2024
Dan Morgan,CAR,LB,0.0,0.10333333333333333,-0.10333333333333333,4,2024
Dan Morgan,CAR,CB,0.0,0.09,-0.09,4,2024
Dan Morgan,CAR,QB,0.0,0.08333333333333333,-0.08333333333333333,4,2024
Dan Morgan,CAR,RB,0.25,0.07,0.18,4,2024
Dan Morgan,CAR,TE,0.0,0.056666666666666664,-0.056666666666666664,4,2024
Dan Morgan,CAR,OT,0.0,0.05333333333333334,-0.05333333333333334,4,2024
Dan Morgan,CAR,S,0.0,0.05,-0.05,4,2024
Dan Morgan,CAR,C,0.0,0.01,-0.01,4,2024
Dan Morgan,CAR,G,0.0,0.01,-0.01,4,2024
Jerry Jones,DAL,WR,0.125,0.21,-0.08499999999999999,8,2020
Jerry Jones,DAL,IDL,0.25,0.15333333333333332,0.09666666666666668,8,2020
Jerry Jones,DAL,EDGE,0.25,0.11,0.14,8,2020
Jerry Jones,DAL,LB,0.125,0.10333333333333333,0.021666666666666667,8,2020
Jerry Jones,DAL,CB,0.125,0.09,0.035,8,2020
Jerry Jones,DAL,QB,0.0,0.08333333333333333,-0.08333333333333333,8,2020
Jerry Jones,DAL,RB,0.0,0.07,-0.07,8,2020
Jerry Jones,DAL,TE,0.125,0.056666666666666664,0.06833333333333333,8,2020
Jerry Jones,DAL,OT,0.0,0.05333333333333334,-0.05333333333333334,8,2020
Jerry Jones,DAL,S,0.0,0.05,-0.05,8,2020
Jerry Jones,DAL,C,0.0,0.01,-0.01,8,2020
Jerry Jones,DAL,G,0.0,0.01,-0.01,8,2020
